date,equity,booked,cash,total,pnl,trades,deposits,withdrawals,notes,recorded_at
2026-06-11,0,0,978.21,978.21,-2.87,9,,,,2026-06-11T19:24:27.823632+03:00
2026-06-14,0,0,971.93,971.93,-4.56,6,0,0,Test,19:06
2026-06-15,0,0,966.11,966.11,-3.74,9,0.0,0.0,,15:35
2026-06-16,0,0,953.89,953.89,-10.24,7,0.0,0.0,,15:36
2026-06-17,291.81,0,655.81,947.62,-5.07,6,0.0,0.0,,17:34
2026-06-18,0,0,1045.89,1045.89,-3.51,8,100.0,0.0,"Trading PnL: -3.51 SAR (round-trip -6.65, carry +3.14). Fund test: +100 SAR.",15:44
2026-06-19,0,0,1045.89,1045.89,0,0,0.0,0.0,Capital scraper comma regex fix applied. No new trading.,03:56
